dataset,status,source_used,date_range_found,universe_size,storage_format,adjustment_pit,quality_checks,daily_job,evidence_paths
Security master (NSE+BSE ISIN symbol changes listing/delisting),PARTIAL,"MICCV2 seed isin_master 3735 rows + bse_scrip_master 10751 rows; built security_master 3421 rows",no span recorded,3421 built / 3735 ISIN,DuckDB table research.duckdb,PIT via symbol_history 3735 rows,"reconcile tolerance 0; expect_symbols 4200","yes (src.identity.master in collect_daily.sh)","src/identity/master.py; docs/DATA_INVENTORY.md group 6; migrations/0001_warehouse.duckdb.sql:102"
NSE cash bhavcopy / OHLCV,DONE,"MICCV2 seed stock_data 7676618 rows + v1_increments prices + NSE direct from 2026-08-17",2005-01-03 -> 2026-09-10,4200 symbols (1497 dead),parquet -> price_spine 7792635 rows 170.9 MB,raw series; adjusted is a separate table,"MAX_UNEXPLAINED_JUMPS guard; reconcile expect_price_rows 7749148 tolerance 0",yes,"src/warehouse/spine.py:87; src/ingest/bhavcopy.py; configs/universe.yml reconciliation"
BSE cash bhavcopy / OHLCV,MISSING,none,n/a,0,none,n/a,n/a,no,"grep BSE src/*.py returns only cost rates and UNPROVEN deal routes; configs/sources.yml has no BSE price source"
Corporate actions (split bonus dividend rights merger),PARTIAL,"MICCV2 seed corporate_actions 40528 rows + NSE direct 41 rows since 2026-08-17",2005-01-18 -> 2026-09-08,n/a,parquet + typed Action rows,"factor computed for SPLIT/BONUS; RIGHTS factor NULL by design; DEMERGER needs human","13 unit tests in tests/test_corp_actions.py; no RELIANCE/TCS/INFY golden test",yes,"src/ingest/corp_actions.py:1-30; src/archive/corporate_actions.py; tests/test_corp_actions.py"
Adjusted vs raw price series,PARTIAL,"MICCV2 seed stock_data_adj 7654136 rows spliced with raw tail",2005-01-03 -> 2026-09-10,4200,parquet -> price_spine_adj 7792286 rows 163.5 MB,"adjusted; boundary verified 2696/2696 symbols equal on 2026-06-25; refuses to build if an action falls after seed end","test_the_known_splits_are_gone_from_the_adjusted_spine (4 real 2026 events, needs_data)",yes,"src/warehouse/spine.py:319-360; tests/test_corp_actions.py:133"
Delivery volume / %,PARTIAL,MICCV2 seed stock_delivery 7685343 rows,2005-01-03 -> 2026-07-08,n/a,parquet in seed only,not in built warehouse,none found,no,"docs/DATA_INVENTORY.md group 1 stock_delivery; absent from group 4"
Index history (Nifty family Sensex sectors),PARTIAL,"MICCV2 seed indices_data 88804 rows + index_membership 13163 + index_constituents 1339",1997-07-01 -> 2026-07-08,46 indices in seed; scan.yml targets ~202,parquet -> benchmark_daily 20309 rows,PIT membership carries effective_from/effective_to,"benchmarks.yml degradation order; flag_unofficial for synthetics",yes (benchmark_daily rebuilt),"src/warehouse/benchmarks.py; configs/benchmarks.yml; configs/split.yml:193"
India VIX,BROKEN,none,n/a,0,none,n/a,n/a,no,"src/research/costs.py:248 vix_regime_multiplier() takes a vix argument; no VIX table anywhere in docs/DATA_INVENTORY.md"
FII/DII daily cash,PARTIAL,"NSE /api/fiidiiTradeReact status CONFIRMED; seed fii_dii_data 68 rows",2026-06-17 -> 2026-08-14 (seed slice),2 categories,archived JSON + parquet,n/a,"schema asserted; publication time bracketed by 3 polls/day",yes,"src/archive/stopgap.py:93; configs/sources.yml:118"
F&O participant / FII-DII F&O,PARTIAL,"MICCV2 seed participant_oi 15359 rows; collection resumed 2026-06-26 onward",2014-01-01 -> 2026-06-25 (seed),"5 participants [Client DII FII Pro TOTAL]",DuckDB participant_oi 15359 rows,n/a,"schema test: 15 cols exactly; TOTAL is computed not a 6th participant",yes,"src/warehouse/participant_oi.py; tests/test_participant_oi.py; configs/sources.yml:134"
Bulk deals,DONE,"MICCV2 seed bulk_deals 223450 rows + NSE nsearchives bulk.csv CONFIRMED_FORWARD_ONLY",2006-01-02 -> 2026-07-08 (seed),239480 clean deal rows total with block,parquet -> institutional_deals_raw/clean,"available_from computed; next-session-open entry","land.py hash dedupe; source_revisions; reconcile expect_bulk_deals 223450",yes,"configs/sources.yml:52; src/ingest/land.py; src/mart/clean.py"
